"Mobility; per person, modes of travel, purposes of travel and regions"
"Population: Population 6 years or older"
"Margins: Value"
"";""
"";"Topic";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Trips";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per day|Distance travelled                      ";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Trips";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   ";"Average per person per year|Distance travelled   "
"";"Region characteristics";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"Extremely urbanised";"Extremely urbanised";"Extremely urbanised";"Extremely urbanised";"Strongly urbanised";"Strongly urbanised";"Strongly urbanised";"Strongly urbanised";"Moderately urbanised";"Moderately urbanised";"Moderately urbanised";"Moderately urbanised";"Hardly urbanised";"Hardly urbanised";"Hardly urbanised";"Hardly urbanised";"Not urbanised";"Not urbanised";"Not urbanised";"Not urbanised";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"Extremely urbanised";"Extremely urbanised";"Extremely urbanised";"Extremely urbanised";"Strongly urbanised";"Strongly urbanised";"Strongly urbanised";"Strongly urbanised";"Moderately urbanised";"Moderately urbanised";"Moderately urbanised";"Moderately urbanised";"Hardly urbanised";"Hardly urbanised";"Hardly urbanised";"Hardly urbanised";"Not urbanised";"Not urbanised";"Not urbanised";"Not urbanised";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"Extremely urbanised";"Extremely urbanised";"Extremely urbanised";"Extremely urbanised";"Strongly urbanised";"Strongly urbanised";"Strongly urbanised";"Strongly urbanised";"Moderately urbanised";"Moderately urbanised";"Moderately urbanised";"Moderately urbanised";"Hardly urbanised";"Hardly urbanised";"Hardly urbanised";"Hardly urbanised";"Not urbanised";"Not urbanised";"Not urbanised";"Not urbanised";"The Netherlands";"The Netherlands";"The Netherlands";"The Netherlands";"Extremely urbanised";"Extremely urbanised";"Extremely urbanised";"Extremely urbanised";"Strongly urbanised";"Strongly urbanised";"Strongly urbanised";"Strongly urbanised";"Moderately urbanised";"Moderately urbanised";"Moderately urbanised";"Moderately urbanised";"Hardly urbanised";"Hardly urbanised";"Hardly urbanised";"Hardly urbanised";"Not urbanised";"Not urbanised";"Not urbanised";"Not urbanised"
"";"Periods";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021";"2018";"2019";"2020";"2021"
"Travel motives";"Travel modes";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres ";"passenger kilometres "
"Total";"Total";"2.78";"2.71";"2.35";"2.51";"2.70";"2.59";"2.14";"2.33";"2.80";"2.74";"2.37";"2.52";"2.84";"2.80";"2.51";"2.61";"2.84";"2.76";"2.44";"2.61";"2.67";"2.64";"2.41";"2.53";"36.16";"36.00";"24.88";"27.24";"32.66";"31.41";"20.77";"23.02";"36.07";"36.08";"24.69";"27.10";"35.97";"37.09";"26.07";"28.01";"39.49";"38.32";"27.24";"30.02";"38.39";"41.35";"29.99";"32.74";"1015";"989";"861";"915";"987";"947";"782";"852";"1023";"1000";"869";"921";"1036";"1022";"917";"952";"1036";"1007";"893";"951";"975";"963";"881";"924";"13200";"13140";"9105";"9942";"11922";"11464";"7601";"8402";"13165";"13168";"9035";"9890";"13128";"13539";"9543";"10222";"14415";"13986";"9969";"10959";"14011";"15093";"10978";"11950"
"Total";"Passenger car (driver)";"0.96";"0.95";"0.81";"0.82";"0.66";"0.63";"0.52";"0.54";"0.97";"0.96";"0.80";"0.82";"1.06";"1.06";"0.93";"0.93";"1.14";"1.13";"0.98";"1.02";"1.14";"1.18";"1.01";"1.00";"18.16";"18.02";"13.14";"14.05";"13.47";"12.65";"9.20";"9.67";"18.56";"18.04";"13.22";"14.04";"18.54";"19.44";"14.17";"15.20";"21.33";"20.91";"15.48";"16.66";"21.33";"23.80";"17.06";"19.38";"350";"346";"295";"300";"240";"230";"189";"197";"353";"349";"293";"301";"385";"386";"340";"341";"415";"413";"360";"371";"415";"430";"371";"365";"6628";"6578";"4811";"5129";"4918";"4616";"3368";"3528";"6775";"6584";"4840";"5124";"6768";"7097";"5187";"5547";"7786";"7632";"5667";"6081";"7787";"8687";"6244";"7074"
"Total";"Passenger car (passenger)";"0.32";"0.31";"0.24";"0.26";"0.24";"0.23";"0.18";"0.20";"0.32";"0.33";"0.25";"0.27";"0.37";"0.33";"0.27";"0.28";"0.37";"0.35";"0.26";"0.28";"0.35";"0.35";"0.27";"0.28";"6.66";"6.65";"4.37";"5.10";"5.33";"4.73";"3.67";"4.29";"6.54";"6.83";"4.27";"5.34";"6.72";"7.19";"4.92";"5.55";"8.03";"7.72";"4.68";"5.32";"7.29";"7.92";"5.03";"5.33";"118";"114";"88";"94";"89";"84";"67";"75";"117";"121";"91";"98";"134";"120";"100";"101";"135";"129";"95";"103";"130";"127";"100";"103";"2431";"2429";"1598";"1860";"1945";"1727";"1344";"1566";"2387";"2494";"1564";"1949";"2452";"2624";"1799";"2024";"2931";"2818";"1713";"1943";"2663";"2891";"1840";"1946"
"Total";"Train";"0.08";"0.08";"0.03";"0.03";"0.13";"0.13";"0.05";"0.06";"0.08";"0.09";"0.04";"0.03";"0.07";"0.07";"0.03";"0.03";"0.04";"0.04";"0.02";"0.02";"0.03";"0.04";".";".";"3.88";"4.08";"1.60";"1.67";"6.27";"6.55";"2.32";"2.97";"3.94";"4.45";"1.83";"1.65";"3.42";"3.17";"1.14";"1.05";"2.22";"2.20";"0.89";"0.88";"1.92";"1.93";".";".";"29";"30";"12";"13";"48";"49";"18";"21";"29";"31";"14";"13";"27";"25";"9";"9";"14";"16";"6";"7";"12";"15";".";".";"1417";"1488";"586";"610";"2290";"2392";"850";"1082";"1438";"1626";"669";"601";"1247";"1156";"417";"385";"810";"802";"327";"322";"702";"705";".";"."
"Total";"Bus/metro";"0.08";"0.07";"0.04";"0.04";"0.18";"0.16";"0.08";"0.08";"0.06";"0.06";"0.03";"0.03";"0.04";"0.04";"0.02";"0.01";"0.04";"0.03";"0.01";"0.02";"0.03";"0.03";".";"0.02";"1.08";"1.06";"0.48";"0.54";"1.85";"1.75";"0.80";"0.89";"0.92";"0.92";"0.40";"0.45";"0.80";"0.78";"0.40";"0.25";"0.79";"0.74";"0.33";"0.46";"0.77";"0.84";".";"0.46";"28";"26";"13";"14";"64";"58";"29";"29";"22";"21";"10";"11";"15";"15";"7";"5";"13";"12";"5";"7";"12";"12";".";"7";"395";"386";"176";"196";"676";"640";"293";"324";"334";"337";"146";"165";"291";"285";"147";"93";"289";"268";"120";"169";"280";"308";".";"170"
"Total";"Bike";"0.79";"0.76";"0.63";"0.64";"0.86";"0.82";"0.64";"0.65";"0.81";"0.77";"0.63";"0.64";"0.79";"0.79";"0.68";"0.69";"0.75";"0.71";"0.60";"0.61";"0.64";"0.58";"0.53";"0.55";"3.16";"3.01";"2.61";"2.68";"3.26";"3.11";"2.59";"2.61";"3.17";"2.95";"2.43";"2.55";"3.15";"3.11";"2.75";"2.81";"3.10";"2.99";"2.79";"2.76";"3.07";"2.77";"2.57";"2.99";"289";"276";"229";"232";"313";"300";"234";"236";"296";"282";"232";"235";"287";"287";"249";"251";"275";"258";"218";"223";"234";"212";"195";"199";"1155";"1098";"955";"979";"1189";"1137";"947";"954";"1157";"1076";"891";"929";"1149";"1137";"1007";"1024";"1131";"1090";"1022";"1009";"1121";"1012";"941";"1090"
"Total";"Walking";"0.44";"0.43";"0.52";"0.61";"0.55";"0.53";"0.60";"0.73";"0.46";"0.42";"0.54";"0.62";"0.41";"0.41";"0.49";"0.56";"0.37";"0.36";"0.46";"0.54";"0.34";"0.32";"0.43";"0.51";"0.90";"0.88";"1.12";"1.38";"1.08";"1.06";"1.21";"1.56";"0.92";"0.89";"1.15";"1.36";"0.86";"0.82";"1.06";"1.29";"0.76";"0.78";"1.05";"1.31";"0.70";"0.73";"1.07";"1.26";"162";"155";"191";"224";"200";"193";"220";"265";"167";"155";"199";"226";"149";"148";"179";"205";"136";"133";"169";"198";"125";"119";"158";"186";"328";"322";"411";"505";"395";"387";"442";"568";"336";"323";"423";"498";"316";"298";"387";"470";"277";"283";"384";"478";"255";"266";"393";"461"
