"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Total";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2018";"    2.75";"   37.54";"    1005";"   13703"
"Total";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2019";"    2.68";"   37.41";"     978";"   13654"
"Total";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2020";"    2.34";"   25.71";"     855";"    9411"
"Total";"Population: 12 years or older";"Total";"Value";"The Netherlands";"2021";"    2.48";"   28.13";"     907";"   10266"
"Total";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2018";"    2.70";"   33.94";"     984";"   12387"
"Total";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2019";"    2.58";"   32.62";"     940";"   11906"
"Total";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2020";"    2.12";"   21.49";"     777";"    7867"
"Total";"Population: 12 years or older";"Total";"Value";"Extremely urbanised";"2021";"    2.32";"   23.58";"     847";"    8607"
"Total";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2018";"    2.78";"   37.57";"    1014";"   13712"
"Total";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2019";"    2.71";"   37.54";"     990";"   13702"
"Total";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2020";"    2.36";"   25.48";"     863";"    9325"
"Total";"Population: 12 years or older";"Total";"Value";"Strongly urbanised";"2021";"    2.50";"   28.06";"     912";"   10243"
"Total";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2018";"    2.80";"   37.27";"    1023";"   13602"
"Total";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2019";"    2.77";"   38.80";"    1010";"   14161"
"Total";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2020";"    2.49";"   26.84";"     912";"    9822"
"Total";"Population: 12 years or older";"Total";"Value";"Moderately urbanised";"2021";"    2.59";"   29.06";"     944";"   10606"
"Total";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2018";"    2.79";"   40.84";"    1019";"   14908"
"Total";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2019";"    2.71";"   39.66";"     990";"   14478"
"Total";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2020";"    2.42";"   28.27";"     885";"   10347"
"Total";"Population: 12 years or older";"Total";"Value";"Hardly urbanised";"2021";"    2.58";"   31.03";"     941";"   11327"
"Total";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2018";"    2.63";"   39.90";"     958";"   14563"
"Total";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2019";"    2.60";"   42.79";"     950";"   15620"
"Total";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2020";"    2.39";"   31.01";"     876";"   11350"
"Total";"Population: 12 years or older";"Total";"Value";"Not urbanised";"2021";"    2.51";"   33.77";"     917";"   12328"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    1.03";"   19.53";"     376";"    7129"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    1.02";"   19.36";"     372";"    7068"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.86";"   14.11";"     316";"    5165"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.88";"   15.07";"     322";"    5501"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.70";"   14.44";"     257";"    5270"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.68";"   13.55";"     247";"    4945"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.55";"    9.85";"     202";"    3607"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.58";"   10.34";"     211";"    3773"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    1.04";"   19.99";"     381";"    7297"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    1.03";"   19.41";"     376";"    7086"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.86";"   14.22";"     315";"    5204"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.89";"   15.08";"     323";"    5505"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    1.14";"   20.01";"     416";"    7304"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    1.14";"   20.96";"     416";"    7650"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    1.00";"   15.25";"     366";"    5583"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    1.01";"   16.35";"     367";"    5968"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    1.22";"   22.94";"     446";"    8372"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    1.22";"   22.45";"     444";"    8195"
"Total";"Population: 12 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    1.06";"   16.62";"     386";"    6081"
