province;year;inhabitants_per_km²;adresses;province_area;address_per_km2
Groningen;2018;251;335605,00;2323,94;144,412076
Fryslan;2018;194;372384,00;3335,62;111,6386159
Drenthe;2018;187;271670,00;2632,65;103,1926006
Overijssel;2018;347;611715,00;3319,00;184,3070202
Flevoland;2018;292;210795,00;1411,63;149,3273733
Gelderland;2018;415;1099572,00;4963,71;221,5222082
Utrecht;2018;940;705425,00;1485,46;474,8865671
Noord-Holland;2018;1062;1661424,00;2664,82;623,46575
Zuid-Holland;2018;1311;2026686,00;2700,07;750,6049843
Zeeland;2018;215;250167,00;1782,12;140,376069
Noord-Brabant;2018;515;1383885,00;4905,46;282,1111578
Limburg;2018;520;634215,00;2146,61;295,4495693
