ID;TravelMotives;Population;TravelModes;Margins;province;Periods;Trips_1;DistanceTravelled_2
20;T001080;A048710;T001093;MW00000;Groningen;2018;2.81;37.46
21;T001080;A048710;T001093;MW00000;Groningen;2019;2.63;39.76
22;T001080;A048710;T001093;MW00000;Groningen;2020;2.27;26.74
23;T001080;A048710;T001093;MW00000;Groningen;2021;2.41;30.47
24;T001080;A048710;T001093;MW00000;Fryslan;2018;2.7;42.6
25;T001080;A048710;T001093;MW00000;Fryslan;2019;2.63;43.52
26;T001080;A048710;T001093;MW00000;Fryslan;2020;2.51;29.52
27;T001080;A048710;T001093;MW00000;Fryslan;2021;2.49;32.12
28;T001080;A048710;T001093;MW00000;Drenthe;2018;2.82;43.08
29;T001080;A048710;T001093;MW00000;Drenthe;2019;2.81;40.32
30;T001080;A048710;T001093;MW00000;Drenthe;2020;2.4;28.14
31;T001080;A048710;T001093;MW00000;Drenthe;2021;2.61;31.99
32;T001080;A048710;T001093;MW00000;Overijssel;2018;2.87;37.98
33;T001080;A048710;T001093;MW00000;Overijssel;2019;2.8;38.69
34;T001080;A048710;T001093;MW00000;Overijssel;2020;2.42;26.06
35;T001080;A048710;T001093;MW00000;Overijssel;2021;2.62;28.19
36;T001080;A048710;T001093;MW00000;Flevoland;2018;2.69;42.97
37;T001080;A048710;T001093;MW00000;Flevoland;2019;2.55;41.63
38;T001080;A048710;T001093;MW00000;Flevoland;2020;2.24;30.09
39;T001080;A048710;T001093;MW00000;Flevoland;2021;2.34;32.49
40;T001080;A048710;T001093;MW00000;Gelderland;2018;2.86;38.33
41;T001080;A048710;T001093;MW00000;Gelderland;2019;2.78;37.95
42;T001080;A048710;T001093;MW00000;Gelderland;2020;2.47;27.32
43;T001080;A048710;T001093;MW00000;Gelderland;2021;2.6;29.75
44;T001080;A048710;T001093;MW00000;Utrecht;2018;2.89;37.88
45;T001080;A048710;T001093;MW00000;Utrecht;2019;2.81;40.15
46;T001080;A048710;T001093;MW00000;Utrecht;2020;2.43;26.57
47;T001080;A048710;T001093;MW00000;Utrecht;2021;2.57;28.4
48;T001080;A048710;T001093;MW00000;Noord-Holland;2018;2.76;35.45
49;T001080;A048710;T001093;MW00000;Noord-Holland;2019;2.63;33.39
50;T001080;A048710;T001093;MW00000;Noord-Holland;2020;2.24;22.38
51;T001080;A048710;T001093;MW00000;Noord-Holland;2021;2.44;25.11
52;T001080;A048710;T001093;MW00000;Zuid-Holland;2018;2.71;32.95
53;T001080;A048710;T001093;MW00000;Zuid-Holland;2019;2.66;33.25
54;T001080;A048710;T001093;MW00000;Zuid-Holland;2020;2.22;22.7
55;T001080;A048710;T001093;MW00000;Zuid-Holland;2021;2.41;24.84
56;T001080;A048710;T001093;MW00000;Zeeland;2018;2.69;32.41
57;T001080;A048710;T001093;MW00000;Zeeland;2019;2.72;37.4
58;T001080;A048710;T001093;MW00000;Zeeland;2020;2.34;26.94
59;T001080;A048710;T001093;MW00000;Zeeland;2021;2.6;31.58
60;T001080;A048710;T001093;MW00000;Noord-Brabant;2018;2.8;35.9
61;T001080;A048710;T001093;MW00000;Noord-Brabant;2019;2.75;35.23
62;T001080;A048710;T001093;MW00000;Noord-Brabant;2020;2.47;24.43
63;T001080;A048710;T001093;MW00000;Noord-Brabant;2021;2.57;26.41
64;T001080;A048710;T001093;MW00000;Limburg;2018;2.77;32.67
65;T001080;A048710;T001093;MW00000;Limburg;2019;2.71;31.34
66;T001080;A048710;T001093;MW00000;Limburg;2020;2.38;23.96
67;T001080;A048710;T001093;MW00000;Limburg;2021;2.51;25.38
