"Travel motives";"Population";"Travel modes";"Margins";"Region characteristics";"Periods";"Average per person per day/Trips (number)";"Average per person per day/Distance travelled                       (passenger kilometres )";"Average per person per year/Trips (number)";"Average per person per year/Distance travelled    (passenger kilometres )"
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2018";"    2.78";"   36.16";"    1015";"   13200"
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2019";"    2.71";"   36.00";"     989";"   13140"
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2020";"    2.35";"   24.88";"     861";"    9105"
"Total";"Population 6 years or older";"Total";"Value";"The Netherlands";"2021";"    2.51";"   27.24";"     915";"    9942"
"Total";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2018";"    2.70";"   32.66";"     987";"   11922"
"Total";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2019";"    2.59";"   31.41";"     947";"   11464"
"Total";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2020";"    2.14";"   20.77";"     782";"    7601"
"Total";"Population 6 years or older";"Total";"Value";"Extremely urbanised";"2021";"    2.33";"   23.02";"     852";"    8402"
"Total";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2018";"    2.80";"   36.07";"    1023";"   13165"
"Total";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2019";"    2.74";"   36.08";"    1000";"   13168"
"Total";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2020";"    2.37";"   24.69";"     869";"    9035"
"Total";"Population 6 years or older";"Total";"Value";"Strongly urbanised";"2021";"    2.52";"   27.10";"     921";"    9890"
"Total";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2018";"    2.84";"   35.97";"    1036";"   13128"
"Total";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2019";"    2.80";"   37.09";"    1022";"   13539"
"Total";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2020";"    2.51";"   26.07";"     917";"    9543"
"Total";"Population 6 years or older";"Total";"Value";"Moderately urbanised";"2021";"    2.61";"   28.01";"     952";"   10222"
"Total";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2018";"    2.84";"   39.49";"    1036";"   14415"
"Total";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2019";"    2.76";"   38.32";"    1007";"   13986"
"Total";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2020";"    2.44";"   27.24";"     893";"    9969"
"Total";"Population 6 years or older";"Total";"Value";"Hardly urbanised";"2021";"    2.61";"   30.02";"     951";"   10959"
"Total";"Population 6 years or older";"Total";"Value";"Not urbanised";"2018";"    2.67";"   38.39";"     975";"   14011"
"Total";"Population 6 years or older";"Total";"Value";"Not urbanised";"2019";"    2.64";"   41.35";"     963";"   15093"
"Total";"Population 6 years or older";"Total";"Value";"Not urbanised";"2020";"    2.41";"   29.99";"     881";"   10978"
"Total";"Population 6 years or older";"Total";"Value";"Not urbanised";"2021";"    2.53";"   32.74";"     924";"   11950"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2018";"    0.96";"   18.16";"     350";"    6628"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2019";"    0.95";"   18.02";"     346";"    6578"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2020";"    0.81";"   13.14";"     295";"    4811"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"The Netherlands";"2021";"    0.82";"   14.05";"     300";"    5129"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2018";"    0.66";"   13.47";"     240";"    4918"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2019";"    0.63";"   12.65";"     230";"    4616"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2020";"    0.52";"    9.20";"     189";"    3368"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Extremely urbanised";"2021";"    0.54";"    9.67";"     197";"    3528"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2018";"    0.97";"   18.56";"     353";"    6775"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2019";"    0.96";"   18.04";"     349";"    6584"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2020";"    0.80";"   13.22";"     293";"    4840"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Strongly urbanised";"2021";"    0.82";"   14.04";"     301";"    5124"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2018";"    1.06";"   18.54";"     385";"    6768"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2019";"    1.06";"   19.44";"     386";"    7097"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2020";"    0.93";"   14.17";"     340";"    5187"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Moderately urbanised";"2021";"    0.93";"   15.20";"     341";"    5547"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2018";"    1.14";"   21.33";"     415";"    7786"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2019";"    1.13";"   20.91";"     413";"    7632"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2020";"    0.98";"   15.48";"     360";"    5667"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Hardly urbanised";"2021";"    1.02";"   16.66";"     371";"    6081"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2018";"    1.14";"   21.33";"     415";"    7787"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2019";"    1.18";"   23.80";"     430";"    8687"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2020";"    1.01";"   17.06";"     371";"    6244"
"Total";"Population 6 years or older";"Passenger car (driver)";"Value";"Not urbanised";"2021";"    1.00";"   19.38";"     365";"    7074"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2018";"    0.32";"    6.66";"     118";"    2431"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2019";"    0.31";"    6.65";"     114";"    2429"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2020";"    0.24";"    4.37";"      88";"    1598"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"The Netherlands";"2021";"    0.26";"    5.10";"      94";"    1860"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2018";"    0.24";"    5.33";"      89";"    1945"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2019";"    0.23";"    4.73";"      84";"    1727"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2020";"    0.18";"    3.67";"      67";"    1344"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Extremely urbanised";"2021";"    0.20";"    4.29";"      75";"    1566"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2018";"    0.32";"    6.54";"     117";"    2387"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2019";"    0.33";"    6.83";"     121";"    2494"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2020";"    0.25";"    4.27";"      91";"    1564"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Strongly urbanised";"2021";"    0.27";"    5.34";"      98";"    1949"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2018";"    0.37";"    6.72";"     134";"    2452"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2019";"    0.33";"    7.19";"     120";"    2624"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2020";"    0.27";"    4.92";"     100";"    1799"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Moderately urbanised";"2021";"    0.28";"    5.55";"     101";"    2024"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2018";"    0.37";"    8.03";"     135";"    2931"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2019";"    0.35";"    7.72";"     129";"    2818"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2020";"    0.26";"    4.68";"      95";"    1713"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Hardly urbanised";"2021";"    0.28";"    5.32";"     103";"    1943"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2018";"    0.35";"    7.29";"     130";"    2663"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2019";"    0.35";"    7.92";"     127";"    2891"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2020";"    0.27";"    5.03";"     100";"    1840"
"Total";"Population 6 years or older";"Passenger car (passenger)";"Value";"Not urbanised";"2021";"    0.28";"    5.33";"     103";"    1946"
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2018";"    0.08";"    3.88";"      29";"    1417"
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2019";"    0.08";"    4.08";"      30";"    1488"
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2020";"    0.03";"    1.60";"      12";"     586"
"Total";"Population 6 years or older";"Train";"Value";"The Netherlands";"2021";"    0.03";"    1.67";"      13";"     610"
"Total";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2018";"    0.13";"    6.27";"      48";"    2290"
"Total";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2019";"    0.13";"    6.55";"      49";"    2392"
"Total";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2020";"    0.05";"    2.32";"      18";"     850"
"Total";"Population 6 years or older";"Train";"Value";"Extremely urbanised";"2021";"    0.06";"    2.97";"      21";"    1082"
"Total";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2018";"    0.08";"    3.94";"      29";"    1438"
"Total";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2019";"    0.09";"    4.45";"      31";"    1626"
"Total";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2020";"    0.04";"    1.83";"      14";"     669"
"Total";"Population 6 years or older";"Train";"Value";"Strongly urbanised";"2021";"    0.03";"    1.65";"      13";"     601"
"Total";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2018";"    0.07";"    3.42";"      27";"    1247"
"Total";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2019";"    0.07";"    3.17";"      25";"    1156"
"Total";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2020";"    0.03";"    1.14";"       9";"     417"
"Total";"Population 6 years or older";"Train";"Value";"Moderately urbanised";"2021";"    0.03";"    1.05";"       9";"     385"
"Total";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2018";"    0.04";"    2.22";"      14";"     810"
"Total";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2019";"    0.04";"    2.20";"      16";"     802"
"Total";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2020";"    0.02";"    0.89";"       6";"     327"
"Total";"Population 6 years or older";"Train";"Value";"Hardly urbanised";"2021";"    0.02";"    0.88";"       7";"     322"
"Total";"Population 6 years or older";"Train";"Value";"Not urbanised";"2018";"    0.03";"    1.92";"      12";"     702"
"Total";"Population 6 years or older";"Train";"Value";"Not urbanised";"2019";"    0.04";"    1.93";"      15";"     705"
"Total";"Population 6 years or older";"Train";"Value";"Not urbanised";"2020";"       .";"       .";"       .";"       ."
"Total";"Population 6 years or older";"Train";"Value";"Not urbanised";"2021";"       .";"       .";"       .";"       ."
"Total";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2018";"    0.08";"    1.08";"      28";"     395"
"Total";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2019";"    0.07";"    1.06";"      26";"     386"
"Total";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2020";"    0.04";"    0.48";"      13";"     176"
"Total";"Population 6 years or older";"Bus/metro";"Value";"The Netherlands";"2021";"    0.04";"    0.54";"      14";"     196"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2018";"    0.18";"    1.85";"      64";"     676"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2019";"    0.16";"    1.75";"      58";"     640"
"Total";"Population 6 years or older";"Bus/metro";"Value";"Extremely urbanised";"2020";"    0.08";"    0.80";"      29";"     293"
